Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
298,Wego / Jupiter,NRB,1,,,,Wego,1,Caliber,NRB,1,
299,Wego / Jupiter,NRB,2,,,,Wego,2,Caliber,NRB,2,
300,Wego / Jupiter,NRB,3,,,,Wego,3,Caliber,NRB,3,
301,Wego / Jupiter,NRB,4,,,,Wego,4,Caliber,NRB,4,
302,Wego / Jupiter,NRB,5,,,,Wego,5,Caliber,NRB,5,
303,Wego / Jupiter,NRB,6,,,,Wego,6,Caliber,NRB,6,
304,Wego / Jupiter,NRB,7,,,,Wego,7,Caliber,NRB,7,
305,XL - 100,Local,STD,,,,XL - 100,STD,Caliber,Local,STD,
306,XL - 100,Local,1,,,,XL - 100,1,Caliber,Local,1,
307,XL - 100,Local,2,,,,XL - 100,2,Caliber,Local,2,
308,XL - 100,Local,3,,,,XL - 100,3,Caliber,Local,3,
309,XL - 100,Local,4,,,,XL - 100,4,Caliber,Local,4,
310,XL - 100,Local,5,,,,XL - 100,5,Caliber,Local,5,
311,XL - 100,Local,6,,,,XL - 100,6,Caliber,Local,6,
312,XL - 100,Local,7,,,,XL - 100,7,Caliber,Local,7,
313,XL - 100,NRB,STD,,,,XL - 100,STD,Caliber,NRB,STD,
314,XL - 100,NRB,1,,,,XL - 100,1,Caliber,NRB,1,
315,XL - 100,NRB,2,,,,XL - 100,2,Caliber,NRB,2,
316,XL - 100,NRB,3,,,,XL - 100,3,Caliber,NRB,3,
317,XL - 100,NRB,4,,,,XL - 100,4,Caliber,NRB,4,
318,XL - 100,NRB,5,,,,XL - 100,5,Caliber,NRB,5,
319,XL - 100,NRB,6,,,,XL - 100,6,Caliber,NRB,6,
320,XL - 100,NRB,7,,,,XL - 100,7,Caliber,NRB,7,
321,Activa - HET,Local,STD,,,,HET,STD,HET,Local,STD,
322,Activa - HET,Local,1,,,,HET,1,HET,Local,1,
323,Activa - HET,Local,2,,,,HET,2,HET,Local,2,
324,Activa - HET,Local,3,,,,HET,3,HET,Local,3,
325,Activa - HET,Local,4,,,,HET,4,HET,Local,4,
326,Activa - HET,Local,5,,,,HET,5,HET,Local,5,
327,Activa - HET,Local,6,,,,HET,6,HET,Local,6,
328,Activa - HET,Local,7,,,,HET,7,HET,Local,7,
329,Activa - HET,NRB,STD,,,,HET,STD,HET,NRB,STD,
330,Activa - HET,NRB,1,,,,HET,1,HET,NRB,1,
331,Activa - HET,NRB,2,,,,HET,2,HET,NRB,2,
332,Activa - HET,NRB,3,,,,HET,3,HET,NRB,3,
